a0,a,b,Slope,Standard deviation,Absolute difference
0.25,5.0,1.0,0.92,0.0047,161410.92
0.25,5.0,2.0,0.91,0.0046,163152.38
0.25,5.0,0.5,0.92,0.0047,160110.57
0.25,7.5,1.0,0.92,0.0047,164770.53
0.25,7.5,2.0,0.92,0.0046,164268.31
0.25,7.5,0.5,0.92,0.0046,162357.6
0.25,9.0,1.0,0.92,0.0047,164491.95
0.25,9.0,2.0,0.92,0.0046,166753.79
0.25,9.0,0.5,0.92,0.0047,164380.04
0.1,5.0,1.0,0.92,0.0045,158474.34
0.1,5.0,2.0,0.92,0.0046,160770.58
0.1,5.0,0.5,0.92,0.0044,157597.75
0.1,7.5,1.0,0.91,0.0047,162953.54
0.1,7.5,2.0,0.92,0.0046,163103.68
0.1,7.5,0.5,0.92,0.0047,161580.64
0.1,9.0,1.0,0.92,0.0046,163769.57
0.1,9.0,2.0,0.92,0.0047,165160.13
0.1,9.0,0.5,0.91,0.0046,162575.51
0.5,5.0,1.0,0.91,0.0046,162410.51
0.5,5.0,2.0,0.92,0.0046,162923.26
0.5,5.0,0.5,0.91,0.0047,163234.32
0.5,7.5,1.0,0.92,0.0046,163798.08
0.5,7.5,2.0,0.92,0.0046,168967.14
0.5,7.5,0.5,0.91,0.0047,164071.94
0.5,9.0,1.0,0.91,0.0047,168859.22
0.5,9.0,2.0,0.92,0.0045,171269.5
0.5,9.0,0.5,0.92,0.0047,164702.82
