num_processors,duration,speedup
1,3451417,1
2,1706453,2.022567864
3,1158850,2.97831212
4,870092,3.966726507
5,695417,4.963089772
6,583755,5.912441007
7,502243,6.87200618
8,447573,7.711405737
9,392647,8.79012701
10,362577,9.519128351
11,340961,10.1226152
12,309368,11.15634778
13,287752,11.99441533
14,279101,12.3661936
15,258351,13.35941026
16,244526,14.114724
17,240031,14.37904687
18,238035,14.4996198
19,242800,14.21506178
20,238583,14.46631571
21,238591,14.46583065
22,236082,14.61956862
23,219182,15.74680859
24,225021,15.33819955
25,223587,15.43657279
26,216766,15.92231715
27,212040,16.2771977
28,214259,16.10862087
29,212678,16.22836871
30,207769,16.61179964
31,202011,17.08529239
32,204419,16.88403231
33,206721,16.6960154
34,203395,16.96903562
35,203679,16.94537483
36,204682,16.86233768
37,204921,16.84267108
38,203836,16.93232304
39,207020,16.67190127
40,202490,17.04487629
