a0,a1,a,b,c,Slope,Standard deviation,Absolute difference
0.25,0.5,5.0,1.0,0.01,0.92,0.0043,168664.93
0.25,0.5,5.0,1.0,0.02,0.94,0.0043,151845.26
0.25,0.5,5.0,1.0,0.005,0.92,0.0043,169681.57
0.25,0.5,5.0,2.0,0.01,0.92,0.0043,169283.45
0.25,0.5,5.0,2.0,0.02,0.93,0.0043,152777.26
0.25,0.5,5.0,2.0,0.005,0.92,0.0043,170640.39
0.25,0.5,5.0,0.5,0.01,0.92,0.0043,168555.81
0.25,0.5,5.0,0.5,0.02,0.94,0.0043,150967.26
0.25,0.5,5.0,0.5,0.005,0.92,0.0042,168191.52
0.25,0.5,2.5,1.0,0.01,0.92,0.0043,168665.93
0.25,0.5,2.5,1.0,0.02,0.93,0.0043,152273.26
0.25,0.5,2.5,1.0,0.005,0.92,0.0043,169697.57
0.25,0.5,2.5,2.0,0.01,0.92,0.0043,169284.45
0.25,0.5,2.5,2.0,0.02,0.93,0.0043,153240.26
0.25,0.5,2.5,2.0,0.005,0.92,0.0043,170643.39
0.25,0.5,2.5,0.5,0.01,0.92,0.0043,168535.81
0.25,0.5,2.5,0.5,0.02,0.94,0.0043,151009.26
0.25,0.5,2.5,0.5,0.005,0.92,0.0042,168199.52
